Bevölkerung nach Geschlecht und nach Größe des bewohnten Privathaushaltes seit 2012 - Zählbezirke Wien | Population by sex and size of inhabited private household since 2012 - subdistricts of Vienna
NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_DATE;REF_YEAR;SEX;1_PH;2_PH;3-5_PH;6p_PH;ANST
AT13;91300;91303;20121031;2012;1;883;1231;1586;153;168
AT13;91300;91303;20121031;2012;2;1400;1431;1658;169;159
AT13;91300;91304;20121031;2012;1;863;1290;2089;183;63
AT13;91300;91304;20121031;2012;2;1344;1486;2126;214;340
AT13;91300;91305;20121031;2012;1;355;573;938;47;10
AT13;91300;91305;20121031;2012;2;534;703;947;42;97
AT13;91300;91306;20121031;2012;1;221;337;514;54;1
AT13;91300;91306;20121031;2012;2;412;389;514;48;0
AT13;91300;91307;20121031;2012;1;274;443;594;84;35
AT13;91300;91307;20121031;2012;2;480;513;657;94;18
AT13;91300;91308;20121031;2012;1;593;927;1185;104;226
AT13;91300;91308;20121031;2012;2;992;1057;1194;115;195
AT13;91300;91309;20121031;2012;1;448;618;799;56;176
AT13;91300;91309;20121031;2012;2;597;716;854;63;346
AT13;91300;91310;20121031;2012;1;7;10;21;3;0
AT13;91300;91310;20121031;2012;2;2;8;19;3;0
AT13;91300;91311;20121031;2012;1;230;592;1110;111;1
AT13;91300;91311;20121031;2012;2;401;630;1086;108;0
AT13;91400;91401;20121031;2012;1;781;1062;1278;137;6
AT13;91400;91401;20121031;2012;2;952;1134;1259;122;1
AT13;91400;91402;20121031;2012;1;1029;1086;1773;242;67
AT13;91400;91402;20121031;2012;2;1107;1152;1715;229;48
AT13;91400;91403;20121031;2012;1;903;1203;1816;151;46
AT13;91400;91403;20121031;2012;2;1313;1329;1873;164;27
AT13;91400;91404;20121031;2012;1;2081;2715;3796;362;127
AT13;91400;91404;20121031;2012;2;2690;3053;3788;359;211
AT13;91400;91405;20121031;2012;1;412;624;886;78;4
AT13;91400;91405;20121031;2012;2;471;698;911;90;1
