NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;SEX;AGR3;AUT;FOR
AT13;90700;90704;2008;20080101;1;2;2641;873
AT13;90700;90704;2008;20080101;1;3;414;50
AT13;90700;90704;2008;20080101;2;1;369;91
AT13;90700;90704;2008;20080101;2;2;2810;924
AT13;90700;90704;2008;20080101;2;3;831;48
AT13;90700;90705;2008;20080101;1;1;333;150
AT13;90700;90705;2008;20080101;1;2;2052;892
AT13;90700;90705;2008;20080101;1;3;282;41
AT13;90700;90705;2008;20080101;2;1;325;121
AT13;90700;90705;2008;20080101;2;2;2206;877
AT13;90700;90705;2008;20080101;2;3;540;51
AT13;90700;90799;2008;20080101;1;1;2;1
AT13;90700;90799;2008;20080101;1;2;10;7
AT13;90700;90799;2008;20080101;1;3;0;0
AT13;90700;90799;2008;20080101;2;1;0;0
AT13;90700;90799;2008;20080101;2;2;19;5
AT13;90700;90799;2008;20080101;2;3;5;0
AT13;90800;90801;2008;20080101;1;1;233;41
AT13;90800;90801;2008;20080101;1;2;1407;796
AT13;90800;90801;2008;20080101;1;3;221;25
AT13;90800;90801;2008;20080101;2;1;210;53
AT13;90800;90801;2008;20080101;2;2;1373;386
AT13;90800;90801;2008;20080101;2;3;362;27
AT13;90800;90802;2008;20080101;1;1;506;66
AT13;90800;90802;2008;20080101;1;2;2943;956
AT13;90800;90802;2008;20080101;1;3;601;40
AT13;90800;90802;2008;20080101;2;1;515;67
AT13;90800;90802;2008;20080101;2;2;3357;968
AT13;90800;90802;2008;20080101;2;3;1002;62
AT13;90800;90803;2008;20080101;1;1;320;103
AT13;90800;90803;2008;20080101;1;2;2080;665
AT13;90800;90803;2008;20080101;1;3;382;21
AT13;90800;90803;2008;20080101;2;1;305;89
AT13;90800;90803;2008;20080101;2;2;2177;618
AT13;90800;90803;2008;20080101;2;3;680;34
AT13;90800;90899;2008;20080101;1;1;1;0
AT13;90800;90899;2008;20080101;1;2;1;1
AT13;90800;90899;2008;20080101;1;3;0;0
AT13;90800;90899;2008;20080101;2;1;1;0
AT13;90800;90899;2008;20080101;2;2;4;4
AT13;90800;90899;2008;20080101;2;3;0;0
AT13;90900;90901;2008;20080101;1;1;309;102
AT13;90900;90901;2008;20080101;1;2;2245;765
AT13;90900;90901;2008;20080101;1;3;441;34
AT13;90900;90901;2008;20080101;2;1;308;110
AT13;90900;90901;2008;20080101;2;2;2415;655
AT13;90900;90901;2008;20080101;2;3;748;53
AT13;90900;90902;2008;20080101;1;1;450;163
AT13;90900;90902;2008;20080101;1;2;2861;1203
AT13;90900;90902;2008;20080101;1;3;562;43
AT13;90900;90902;2008;20080101;2;1;413;144
AT13;90900;90902;2008;20080101;2;2;2964;951
AT13;90900;90902;2008;20080101;2;3;1153;52
AT13;90900;90903;2008;20080101;1;1;160;75
AT13;90900;90903;2008;20080101;1;2;1110;428
AT13;90900;90903;2008;20080101;1;3;187;20
AT13;90900;90903;2008;20080101;2;1;172;69
AT13;90900;90903;2008;20080101;2;2;1216;411
AT13;90900;90903;2008;20080101;2;3;362;21
AT13;90900;90904;2008;20080101;1;1;354;127
AT13;90900;90904;2008;20080101;1;2;2330;1012
AT13;90900;90904;2008;20080101;1;3;378;41
AT13;90900;90904;2008;20080101;2;1;328;119
AT13;90900;90904;2008;20080101;2;2;2517;975
AT13;90900;90904;2008;20080101;2;3;738;65
AT13;90900;90905;2008;20080101;1;1;241;72
AT13;90900;90905;2008;20080101;1;2;1391;378
AT13;90900;90905;2008;20080101;1;3;300;26
AT13;90900;90905;2008;20080101;2;1;252;74
AT13;90900;90905;2008;20080101;2;2;1493;425
AT13;90900;90905;2008;20080101;2;3;521;25
AT13;90900;90906;2008;20080101;1;1;96;14
AT13;90900;90906;2008;20080101;1;2;464;166
AT13;90900;90906;2008;20080101;1;3;111;6
AT13;90900;90906;2008;20080101;2;1;87;24
AT13;90900;90906;2008;20080101;2;2;545;171
AT13;90900;90906;2008;20080101;2;3;181;14
AT13;90900;90999;2008;20080101;1;1;1;0
AT13;90900;90999;2008;20080101;1;2;6;1
AT13;90900;90999;2008;20080101;1;3;0;1
AT13;90900;90999;2008;20080101;2;1;0;1
AT13;90900;90999;2008;20080101;2;2;10;3
AT13;90900;90999;2008;20080101;2;3;7;0
AT13;91000;91001;2008;20080101;1;1;11;13
AT13;91000;91001;2008;20080101;1;2;53;77
AT13;91000;91001;2008;20080101;1;3;13;2
AT13;91000;91001;2008;20080101;2;1;12;8
AT13;91000;91001;2008;20080101;2;2;55;59
AT13;91000;91001;2008;20080101;2;3;18;1
AT13;91000;91002;2008;20080101;1;1;1054;447
AT13;91000;91002;2008;20080101;1;2;4474;2134
AT13;91000;91002;2008;20080101;1;3;833;96
AT13;91000;91002;2008;20080101;2;1;978;381
AT13;91000;91002;2008;20080101;2;2;4243;1950
AT13;91000;91002;2008;20080101;2;3;1461;96
AT13;91000;91003;2008;20080101;1;1;370;136
AT13;91000;91003;2008;20080101;1;2;1672;697
AT13;91000;91003;2008;20080101;1;3;450;39
AT13;91000;91003;2008;20080101;2;1;326;132
AT13;91000;91003;2008;20080101;2;2;1694;592
AT13;91000;91003;2008;20080101;2;3;797;34
AT13;91000;91004;2008;20080101;1;1;335;211
AT13;91000;91004;2008;20080101;1;2;1493;1074
AT13;91000;91004;2008;20080101;1;3;405;56
AT13;91000;91004;2008;20080101;2;1;317;200
AT13;91000;91004;2008;20080101;2;2;1504;1001
AT13;91000;91004;2008;20080101;2;3;649;59
AT13;91000;91005;2008;20080101;1;1;1120;420
AT13;91000;91005;2008;20080101;1;2;4088;2077
AT13;91000;91005;2008;20080101;1;3;552;98
AT13;91000;91005;2008;20080101;2;1;1077;423
AT13;91000;91005;2008;20080101;2;2;4138;1845
AT13;91000;91005;2008;20080101;2;3;914;114
AT13;91000;91006;2008;20080101;1;1;518;390
AT13;91000;91006;2008;20080101;1;2;2429;1864
AT13;91000;91006;2008;20080101;1;3;389;97
AT13;91000;91006;2008;20080101;2;1;544;334
AT13;91000;91006;2008;20080101;2;2;2263;1567
AT13;91000;91006;2008;20080101;2;3;605;105
AT13;91000;91007;2008;20080101;1;1;562;204
AT13;91000;91007;2008;20080101;1;2;2696;1061
AT13;91000;91007;2008;20080101;1;3;839;35
AT13;91000;91007;2008;20080101;2;1;528;177
AT13;91000;91007;2008;20080101;2;2;2978;859
AT13;91000;91007;2008;20080101;2;3;1259;53
AT13;91000;91008;2008;20080101;1;1;450;268
AT13;91000;91008;2008;20080101;1;2;1918;1253
AT13;91000;91008;2008;20080101;1;3;445;51
AT13;91000;91008;2008;20080101;2;1;385;289
AT13;91000;91008;2008;20080101;2;2;1901;1128
AT13;91000;91008;2008;20080101;2;3;658;63
AT13;91000;91009;2008;20080101;1;1;364;72
AT13;91000;91009;2008;20080101;1;2;1279;243
AT13;91000;91009;2008;20080101;1;3;214;11
AT13;91000;91009;2008;20080101;2;1;312;78
AT13;91000;91009;2008;20080101;2;2;1298;308
AT13;91000;91009;2008;20080101;2;3;410;17
AT13;91000;91010;2008;20080101;1;1;826;189
AT13;91000;91010;2008;20080101;1;2;3955;1011
AT13;91000;91010;2008;20080101;1;3;1296;56
AT13;91000;91010;2008;20080101;2;1;782;190
AT13;91000;91010;2008;20080101;2;2;4013;941
AT13;91000;91010;2008;20080101;2;3;2231;73
AT13;91000;91011;2008;20080101;1;1;736;77
AT13;91000;91011;2008;20080101;1;2;2514;289
AT13;91000;91011;2008;20080101;1;3;616;17
AT13;91000;91011;2008;20080101;2;1;660;65
AT13;91000;91011;2008;20080101;2;2;2481;361
AT13;91000;91011;2008;20080101;2;3;914;19
AT13;91000;91012;2008;20080101;1;1;173;32
AT13;91000;91012;2008;20080101;1;2;695;163
AT13;91000;91012;2008;20080101;1;3;19;9
AT13;91000;91012;2008;20080101;2;1;183;25
AT13;91000;91012;2008;20080101;2;2;691;194
AT13;91000;91012;2008;20080101;2;3;20;8
AT13;91000;91013;2008;20080101;1;1;236;35
AT13;91000;91013;2008;20080101;1;2;1338;126
AT13;91000;91013;2008;20080101;1;3;563;3
AT13;91000;91013;2008;20080101;2;1;216;20
AT13;91000;91013;2008;20080101;2;2;1428;142
AT13;91000;91013;2008;20080101;2;3;886;10
AT13;91000;91014;2008;20080101;1;1;244;17
AT13;91000;91014;2008;20080101;1;2;1170;97
AT13;91000;91014;2008;20080101;1;3;384;10
AT13;91000;91014;2008;20080101;2;1;234;21
AT13;91000;91014;2008;20080101;2;2;1283;111
AT13;91000;91014;2008;20080101;2;3;595;12
AT13;91000;91015;2008;20080101;1;1;384;43
AT13;91000;91015;2008;20080101;1;2;1423;212
AT13;91000;91015;2008;20080101;1;3;206;6
AT13;91000;91015;2008;20080101;2;1;352;62
AT13;91000;91015;2008;20080101;2;2;1621;230
AT13;91000;91015;2008;20080101;2;3;243;7
AT13;91000;91016;2008;20080101;1;1;324;38
AT13;91000;91016;2008;20080101;1;2;1778;128
AT13;91000;91016;2008;20080101;1;3;550;12
AT13;91000;91016;2008;20080101;2;1;336;38
AT13;91000;91016;2008;20080101;2;2;1760;152
AT13;91000;91016;2008;20080101;2;3;754;20
AT13;91000;91017;2008;20080101;1;1;75;4
AT13;91000;91017;2008;20080101;1;2;291;11
AT13;91000;91017;2008;20080101;1;3;61;0
AT13;91000;91017;2008;20080101;2;1;84;5
AT13;91000;91017;2008;20080101;2;2;304;17
AT13;91000;91017;2008;20080101;2;3;58;2
AT13;91000;91018;2008;20080101;1;1;387;30
AT13;91000;91018;2008;20080101;1;2;1188;144
AT13;91000;91018;2008;20080101;1;3;163;4
AT13;91000;91018;2008;20080101;2;1;337;18
AT13;91000;91018;2008;20080101;2;2;1362;115
AT13;91000;91018;2008;20080101;2;3;223;5
AT13;91000;91019;2008;20080101;1;1;163;13
AT13;91000;91019;2008;20080101;1;2;716;102
AT13;91000;91019;2008;20080101;1;3;217;12
AT13;91000;91019;2008;20080101;2;1;154;18
AT13;91000;91019;2008;20080101;2;2;760;115
AT13;91000;91019;2008;20080101;2;3;281;10
AT13;91000;91020;2008;20080101;1;1;567;26
AT13;91000;91020;2008;20080101;1;2;2456;182
AT13;91000;91020;2008;20080101;1;3;1096;11
AT13;91000;91020;2008;20080101;2;1;527;27
AT13;91000;91020;2008;20080101;2;2;2854;226
AT13;91000;91020;2008;20080101;2;3;1635;21
AT13;91000;91021;2008;20080101;1;1;584;8
AT13;91000;91021;2008;20080101;1;2;2079;155
AT13;91000;91021;2008;20080101;1;3;179;9
AT13;91000;91021;2008;20080101;2;1;592;14
AT13;91000;91021;2008;20080101;2;2;2477;124
AT13;91000;91021;2008;20080101;2;3;430;10
AT13;91000;91022;2008;20080101;1;1;250;207
AT13;91000;91022;2008;20080101;1;2;1332;982
AT13;91000;91022;2008;20080101;1;3;392;41
AT13;91000;91022;2008;20080101;2;1;240;187
AT13;91000;91022;2008;20080101;2;2;1334;811
AT13;91000;91022;2008;20080101;2;3;655;36
AT13;91000;91023;2008;20080101;1;1;608;212
AT13;91000;91023;2008;20080101;1;2;2018;923
AT13;91000;91023;2008;20080101;1;3;510;33
AT13;91000;91023;2008;20080101;2;1;564;189
AT13;91000;91023;2008;20080101;2;2;2249;774
AT13;91000;91023;2008;20080101;2;3;999;36
AT13;91000;91099;2008;20080101;1;1;2;3
AT13;91000;91099;2008;20080101;1;2;14;7
AT13;91000;91099;2008;20080101;1;3;2;0
AT13;91000;91099;2008;20080101;2;1;4;3
AT13;91000;91099;2008;20080101;2;2;14;6
AT13;91000;91099;2008;20080101;2;3;4;1
AT13;91100;91101;2008;20080101;1;1;56;5
AT13;91100;91101;2008;20080101;1;2;383;113
AT13;91100;91101;2008;20080101;1;3;9;3
AT13;91100;91101;2008;20080101;2;1;39;7
AT13;91100;91101;2008;20080101;2;2;318;133
AT13;91100;91101;2008;20080101;2;3;29;0
AT13;91100;91102;2008;20080101;1;1;775;259
AT13;91100;91102;2008;20080101;1;2;3194;1128
AT13;91100;91102;2008;20080101;1;3;834;62
AT13;91100;91102;2008;20080101;2;1;671;225
AT13;91100;91102;2008;20080101;2;2;3344;1029
AT13;91100;91102;2008;20080101;2;3;1261;80
AT13;91100;91103;2008;20080101;1;1;954;330
AT13;91100;91103;2008;20080101;1;2;3942;1618
AT13;91100;91103;2008;20080101;1;3;705;72
AT13;91100;91103;2008;20080101;2;1;895;329
AT13;91100;91103;2008;20080101;2;2;3867;1501
AT13;91100;91103;2008;20080101;2;3;1215;89
AT13;91100;91104;2008;20080101;1;1;215;55
AT13;91100;91104;2008;20080101;1;2;1273;337
