Wohnungen in den 250 Zaehlbezirken in Wien - Registerzaehlung 2011 | Housing units in 250 sub-districts in Vienna - Census 2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;WHG_TOTAL;WHG_WSA_1;WHG_WSA_0;WHG_NOC_0;WHG_NOC_1;WHG_NOC_2;WHG_NOC_3;WHG_NOC_4;WHG_RECHTSVERH_1;WHG_RECHTSVERH_2;WHG_RECHTSVERH_3;WHG_RECHTSVERH_4;WHG_NOR_1;WHG_NOR_2;WHG_NOR_3;WHG_NOR_4;WHG_NTZFL_1;WHG_NTZFL_2;WHG_NTZFL_3;WHG_NTZFL_4;WHG_NTZFL_5;WHG_BEHEIZ_1;WHG_BEHEIZ_0;WHG_BAD_1;WHG_BAD_0;WHG_TOI_1;WHG_TOI_0;WHG_WSS_1;WHG_WSS_0;WHG_AUSST_1;WHG_AUSST_2;WHG_AUSST_3;WHG_AUSST_4;OBJ_TYP_1;OBJ_TYP_2;OBJ_TYP_3;OBJ_TYP_4;OBJ_TYP_5;OBJ_EIGENT_1;OBJ_EIGENT_2;OBJ_EIGENT_3;OBJ_EIGENT_4;OBJ_BAUP_1;OBJ_BAUP_2;OBJ_BAUP_3;OBJ_BAUP_4;OBJ_BAUP_5;OBJ_BAUP_6;OBJ_BAUP_7;OBJ_BAUP_8;OBJ_BAUP_9;OBJ_ANZWHG_1;OBJ_ANZWHG_2;OBJ_ANZWHG_3;OBJ_ANZWHG_4;OBJ_ANZWHG_5;OBJ_ANZWHG_6;REF_DAT
AT1;AT13;AT130;90600;90601;4518;3749;769;769;1796;1120;790;43;76;357;3746;339;283;623;3013;599;552;737;1403;1161;665;4162;356;4326;192;4208;310;4512;6;3871;228;109;310;4;8;4404;18;84;3069;569;101;779;3755;103;58;209;115;155;47;49;27;16;16;138;766;2537;1045;20111031
AT1;AT13;AT130;90600;90602;5830;4854;976;976;2500;1380;907;67;117;990;4240;483;674;1183;3756;217;1231;1511;2086;836;166;5451;379;5625;205;5414;416;5812;18;5089;221;104;416;5;4;5638;84;99;4107;825;443;455;2657;568;653;498;533;433;189;49;250;16;10;83;416;2536;2769;20111031
AT1;AT13;AT130;90600;90603;8197;6739;1458;1458;3446;1912;1312;69;145;1528;5801;723;695;1490;5526;486;1249;1710;2984;1752;502;7793;404;8000;197;7820;377;8187;10;7417;281;122;377;4;8;7938;59;188;5874;726;619;978;4703;192;327;413;929;893;447;139;154;17;14;163;882;3388;3733;20111031
AT1;AT13;AT130;90700;90701;3454;2961;493;493;1509;838;594;20;59;239;2914;242;225;513;2411;305;402;648;1245;840;319;3248;206;3336;118;3280;174;3446;8;3082;130;68;174;2;24;3418;0;10;2012;310;119;1013;2867;44;141;63;126;88;11;38;76;8;28;119;652;1913;734;20111031
AT1;AT13;AT130;90700;90702;1863;1571;292;292;808;440;308;15;45;164;1537;117;134;231;1316;182;227;294;707;397;238;1800;63;1821;42;1809;54;1862;1;1743;45;21;54;4;20;1792;0;47;1395;151;55;262;1416;42;0;78;0;25;156;26;120;8;28;110;430;973;314;20111031
AT1;AT13;AT130;90700;90703;2818;2487;331;331;1308;691;467;21;44;212;2331;231;187;468;1929;234;388;546;1083;517;284;2705;113;2762;56;2727;91;2816;2;2604;89;34;91;1;4;2683;46;84;1593;341;266;618;1715;192;147;282;80;151;82;24;145;10;4;86;340;1355;1023;20111031
AT1;AT13;AT130;90700;90704;5871;4984;887;887;2593;1328;1017;46;92;795;4567;417;507;859;4154;351;912;1116;2055;1471;317;5603;268;5685;186;5478;393;5857;14;5214;172;92;393;5;6;5733;68;59;4422;402;255;792;4151;167;37;182;288;575;204;112;155;14;8;97;680;2676;2396;20111031
AT1;AT13;AT130;90700;90705;5081;4254;827;827;2290;1145;789;30;88;841;3813;339;478;849;3484;270;977;1042;2011;832;219;4705;376;4856;225;4542;539;5050;31;4276;181;85;539;3;8;4989;2;79;3716;265;275;825;3700;228;174;176;224;290;131;94;64;9;14;104;765;2356;1833;20111031
AT1;AT13;AT130;90800;90801;2844;2330;514;514;1148;645;510;27;56;163;2346;279;197;433;1828;386;370;536;921;623;394;2733;111;2773;71;2667;177;2838;6;2554;77;36;177;2;10;2672;75;85;1638;445;174;587;2170;163;123;73;154;32;98;12;19;6;16;65;307;1644;806;20111031
AT1;AT13;AT130;90800;90802;6962;5570;1392;1392;2777;1607;1138;48;153;994;5231;584;512;993;4680;777;884;1123;2418;1797;740;6649;313;6785;177;6717;245;6951;11;6370;237;110;245;11;16;6653;181;101;5126;417;183;1236;5142;168;301;443;373;254;162;78;41;19;30;174;1251;3072;2416;20111031
AT1;AT13;AT130;90800;90803;5061;4018;1043;1043;2153;1118;713;34;61;944;3620;436;409;867;3509;276;785;1046;1945;1026;259;4810;251;4871;190;4766;295;5050;11;4494;167;105;295;4;4;4978;31;44;3737;303;133;888;3251;361;448;224;407;190;114;18;48;9;6;81;334;2386;2245;20111031
AT1;AT13;AT130;90900;90901;5576;4638;938;938;2579;1246;776;37;87;509;4596;384;605;1165;3558;248;1346;1405;1859;772;194;5203;373;5330;246;5231;345;5560;16;4819;247;165;345;9;10;5450;76;31;3166;1321;183;906;3281;696;435;432;219;271;153;55;34;14;14;54;480;2620;2394;20111031
AT1;AT13;AT130;90900;90902;6575;5397;1178;1178;2674;1584;1105;34;106;610;5420;439;585;1007;4473;510;1043;1300;2187;1519;526;6107;468;6292;283;6192;383;6563;12;5687;329;176;383;0;4;6429;100;42;4398;854;293;1030;5022;592;260;97;107;181;231;79;6;5;6;53;509;3369;2633;20111031
AT1;AT13;AT130;90900;90903;3405;2235;1170;1170;1218;581;408;28;44;294;2475;592;992;540;1696;177;1251;624;927;421;182;3240;165;3293;112;3179;226;3399;6;3001;105;73;226;1;2;2649;703;50;1737;967;251;450;1502;443;437;71;72;11;423;52;394;5;8;30;300;1367;1695;20111031
AT1;AT13;AT130;90900;90904;6162;4929;1233;1233;2680;1355;843;51;111;709;4746;596;556;1252;4033;321;1158;1499;2202;1058;245;5678;484;5864;298;5643;519;6143;19;5186;295;162;519;0;0;6019;76;67;4547;570;166;879;4579;373;214;371;274;115;112;41;83;8;8;61;779;3019;2287;20111031
